Payee Name,Invoice Date,Invoice #,Vendor ID,Invoice Amount,Account Code ,Dates of service ,Mail Date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Amount Paid, Pymt Received
University 258,9/13/20,NB091320G,,"$2,750.00 ",4700-00000,1 yr Subscription 9/10/2020 to 7/30/2021,9/13/20,,,,"$2,750.00 ",9/28/20
University 259,9/13/20,NB091320H,,$500.00 ,4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,9/13/20,,,,Follow Up on 2-Nov-20,
University 260,9/15/20,NB091520,,"$3,500.00 ",4700-00000,1 yr Subscription 9/14/2020 to 9/30/2021,9/15/20,,,,,
University 261,9/17/20,NB091720,,$462.00 ,4700-00000,3 Mo Subscription 9/15/2020 to 12/15/2020,9/17/20,,,,$462.00 ,10/9/20
University 262,9/17/20,NB091720A,,"$1,270.00 ",4700-00000,3 Mo Subscription 10/1/2020 to 12/30/2020,9/17/20,,,,,
University 263,9/17/20,NB091720B,,"$2,500.00 ",4700-00000,1 yr Subscription 9/19/2020 to 9/30/2021,9/17/20,,,,"$2,500.00 ",10/2/20
University 264,9/17/20,NB091720C,,$875.00 ,4700-00000,6 Mon Subscription 10/1/2020 to 03/31/2021,9/17/20,,,,$875.00 ,10/2/20
University 147,9/17/20,NB071720D,,$130.00 ,4700-00000,1 yr Subscription 8/8/2020 to 7/31/2021,7/30/20,,,9/9/20,Sent for Pay,
University 265,9/18/20,NB091820,,"$4,500.00 ",4700-00000,1 yr Subscription 9/18/2020 to 9/30/2021,9/18/20,,,,"$4,500.00 ",10/9/20
University 265,9/18/20,NB091820A,,"$3,000.00 ",4700-00000,1 yr Subscription 9/18/2020 to 9/30/2021,9/18/20,,,,,
University 266,9/18/20,NB091820B,,"$2,250.00 ",4700-00000,1 yr Subscription 9/21/2020 to 9/30/2021,9/18/20,,,,"$2,250.00 ",10/9/20
University 194,9/21/20,NB092120,,$360.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,9/21/20,,,,$360.00 ,10/17/20
University 267,9/21/20,NB092120A,,"$1,030.00 ",4700-00000,6 Mon Subscription 9/18/2020 to 03/18/2021,9/21/20,,,,"$1,030.00 ",10/21/20
University 81,9/21/20,NB092120B,,$100.00 ,4700-00000,1 yr Subscription 4/15/2020 to 4/30/2021,9/21/20,,,,$100.00 ,10/9/20
University 268,9/21/20,NB092120C,,"$2,500.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,9/21/20,,,,"$2,500.00 ",10/2/20
University 269,9/21/20,NB092120D,,"$4,500.00 ",4700-00000,1 yr Subscription 9/18/2020 to 9/30/2021,9/21/20,,,,,
University 188,9/22/20,NB092220,,$750.00 ,4700-00000,6 Mon Subscription 9/1/2020 to 03/31/2021,9/22/20,,,,$750.00 ,10/2/20
University 270,9/22/20,NB092220A,,$125.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/31/2020,9/22/20,,,,$125.00 ,10/17/20
University 271,9/24/20,NB092420,,"$3,250.00 ",4700-00000,3 Mo Subscription 9/24/2020 to 12/24/2020,9/24/20,,,,"$3,250.00 ",9/28/20
University 79,9/24/20,NB092420A,,"$1,000.00 ",4700-00000,1 yr Subscription 7/7/2020 to 6/30/2021,9/24/20,,,,"$1,000.00 ",10/9/20
University 272,9/24/20,NB092420B,,"$2,125.00 ",4700-00000,3 Mo Subscription 9/21/2020 to 12/21/2020,9/24/20,,,,,
University 273,9/24/20,NB092420C,,"$2,500.00 ",4700-00000,1 yr Subscription 9/22/2020 to 9/30/2021,9/24/20,,,,"$2,500.00 ",10/8/20
University 274,9/24/20,NB092420D,,"$1,400.00 ",4700-00000,6 Mon Subscription 9/9/2020 to 03/9/2021,9/24/20,,,,"$1,400.00 ",10/9/20
University 275,9/25/20,NB092520,,$800.00 ,4700-00000,6 Mon Subscription 9/24/2020 to 03/24/2021,9/25/20,,,,$799.50 ,10/2/20
University 276,9/29/20,NB092920,,"$2,250.00 ",4700-00000,1 yr Subscription 9/28/2020 to 9/30/2021,9/29/20,,,,"$2,250.00 ",11/3/20
University 133,9/29/20,,,$50.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/14/2021,9/29/20,,,,$50.00 ,9/28/20
University 277,9/30/20,NB093020,,"$2,500.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,9/30/20,,,,,
University 278,10/1/20,NB100120,,"$3,250.00 ",4700-00000,6 Mon Subscription 10/1/2020 to 03/31/2021,10/1/20,,,,"$3,250.00 ",11/3/20
University 248,10/1/20,NB100120A,,$100.00 ,4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,10/1/20,,,,$100.00 ,10/21/20
University 194,10/1/20,NB100120B,,$190.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,10/1/20,,,,$190.00 ,10/27/20
University 260,10/1/20,NB100120C,,$500.00 ,4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/1/20,,,,,
University 92,10/1/20,NB100120D,,$200.00 ,4700-00000,1 yr Subscription 5/4/2020 to 4/30/2021,10/1/20,,,,$200.00 ,11/3/20
University 279,10/1/20,NB100120E,,"$1,250.00 ",4700-00000,3 Mo Subscription 9/15/2020 to 12/15/2020,10/1/20,,,,"$1,250.00 ",10/27/20
University 280,10/2/20,NB100220,,"$3,000.00 ",4700-00000,1 yr Subscription 10/2/2020 to 9/30/2021,10/2/20,,,,"$3,000.00 ",10/6/20
University 281,10/2/20,NB100220A,,$400.00 ,4700-00000,3 Mo Subscription 10/2/2020 to 12/31/2020,10/2/20,,,,$400.00 ,10/21/20
University 282,9/1/20,NB090820L,,"$1,500.00 ",4700-00000,6 Mon Subscription 8/31/2020 to 02/28/2021,9/1/20,,,,"$1,500.00 ",10/2/20
University 283,10/7/20,NB100720,,"$15,520.00 ",4700-00000,2020 Yearly Invoice ending 9/26/2020,10/7/20,,,,"$15,000.00 ",10/27/20
University 284,10/7/20,NB100820,,"$3,500.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/7/20,,,,,
University 285,10/7/20,NB100820A,,$450.00 ,4700-00000,3 Mo Subscription 10/2/2020 to 12/31/2020,10/7/20,,,,,
University 286,10/7/20,NB100820B,,"$8,880.00 ",4700-00000,1 yr Subscription 9/17/2020 to 9/30/2021,10/7/20,,,,"$8,880.00 ",11/3/20
University 287,10/7/20,NB100820C,,$200.00 ,4700-00000,30 Days 10/15/2020 to 11/14/2020,10/7/20,,,,$200.00 ,10/21/20
University 72,10/7/20,NB100820D,,$495.00 ,4700-00000,6 Mon Subscription 7/1/2020 to 12/30/2020,10/7/20,,,,$495.00 ,10/19/20
University 288,10/7/20,NB100820F,,"$1,900.00 ",4700-00000,1 yr Subscription 10/15/2020 to 10/31/2021,10/7/20,,,,"$1,900.00 ",10/27/20
University 118,10/7/20,NB100820G,,$200.00 ,4700-00000,1 yr Subscription 5/31/2020 to 5/31/2021,10/7/20,,,,,
University 289,10/7/20,NB100820H,,$700.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/31/2020,10/7/20,,,,$700.00 ,10/13/20
University 290,10/7/20,NB100820I,,"$1,625.00 ",4700-00000,3 Mo Subscription 10/7/2020 to 12/31/2020,10/7/20,,,,,
University 291,10/7/20,NB100820J,,$395.00 ,4700-00000,3 Mo Subscription 10/7/2020 to 12/31/2020,10/7/20,,,,$395.00 ,10/27/20
University 292,10/7/20,NB100820K,,$500.00 ,4700-00000,3 Mo Subscription 10/2/2020 to 12/31/2020,10/7/20,,,,$500.00 ,10/13/20
University 293,10/9/20,NB100920,,"$3,250.00 ",4700-00000,6 Mon Subscription 10/7/2020 to 4/7/2021,10/9/20,,,,"$3,250.00 ",10/19/20
University 294,10/9/20,NB100920A,,"$21,000.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/9/20,,,,,
University 295,10/13/20,NB101320A,,"$4,700.00 ",4700-00000,1 yr Subscription 10/9/2020 to 9/30/2021,10/13/20,,,,,
University 296,10/13/20,NB101320B,,"$1,200.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/13/20,,,,"$1,200.00 ",11/3/20
University 30,10/13/20,NB101320C,,"$1,000.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/13/20,,,,,
University 73,10/15/20,NB101520,,"$4,500.00 ",4700-00000,1 yr Subscription 9/8/2020 to 8/31/2021,10/15/20,,,,,
University 297,10/15/20,NB101520A,,"$1,640.00 ",4700-00000,1 yr Subscription 10/14/2020 to 10/31/2021,10/15/20,,,,"$1,640.00 ",10/15/20
University 298,10/16/20,NB101620,,"$4,800.00 ",4700-00000,3 yr Subscription 10/20/2020 to 10/31/2023,10/16/20,,,,,
University 299,10/16/20,NB101620A,,"$4,500.00 ",4700-00000,1 yr Subscription 10/6/2020 to 10/5/2021,10/16/20,,,,"$4,500.00 ",10/21/20
University 300,10/16/20,NB101620B,,"$6,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,10/16/20,,,,"$6,500.00 ",11/3/20
University 274,10/16/20,NB101620C,,$75.00 ,4700-00000,6 Mon Subscription 9/9/2020 to 3/9/2021,10/16/20,,,,,
University 301,10/19/20,NB101920,,$500.00 ,4700-00000,6 Mon Subscription 10/23/2020 to 4/23/2021,10/19/20,,,,$500.00 ,11/3/20
University 261,10/19/20,NB101920A,,"$2,500.00 ",4700-00000,1 yr Subscription 9/8/2020 to 10/31/2021,10/19/20,,,,"$2,500.00 ",11/3/20
University 284,10/19/20,NB101920B,,$410.00 ,4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/19/20,,,,,
University 302,10/20/20,NB102020,,$750.00 ,4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,10/20/20,,,,$750.00 ,10/21/20
University 303,10/20/20,NB102020A,,"$16,052.00 ",4700-00000,3 Mo Subscription 8/20/2020 to 12/12/2020,10/20/20,,,,,
University 304,10/22/20,NB102020,,$425.00 ,4700-00000,3 Mo Subscription 11/1/2020 to 1/31/2021,10/22/20,,,,,
University 131,10/22/20,NB102020A,,$100.00 ,4700-00000,6 Mon Subscription 7/21/2020 to 1/31/2021,10/22/20,,,,,
University 305,10/22/20,NB102020B,,"$5,000.00 ",4700-00000,1 yr Subscription 9/28/2020 to 9/30/2021,10/22/20,,,,,
University 306,10/23/20,NB102220C,,$562.00 ,4700-00000,3 Mo Subscription 10/22/2020 to 1/22/2020,10/23/20,,,,,
University 274,10/23/20,NB102320,,$100.00 ,4700-00000,6 Mon Subscription 9/9/2020 to 3/9/2021,10/23/20,,,,,
University 284,10/28/20,NB102320,,$300.00 ,4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,10/28/20,,,,,
University 307,10/30/20,NB103020,,"$3,366.00 ",4700-00000,1 yr Subscription 11/7/2020 to 10/31/2021,10/30/20,,,,,
University 308,11/2/20,NB110220,,"$26,250.00 ",4700-00000,3 yr Subscription 10/31/2020 to 10/31/2023,11/2/20,,,,,
University 309,11/2/20,NB110220A,,$500.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,11/2/20,,,,,
University 310,11/2/20,NB110220B,,"$2,500.00 ",4700-00000,1 yr Subscription 11/2/2020 to 10/31/2021,11/2/20,,,,,
University 111,11/2/20,NB110220C,,"$3,500.00 ",4700-00000,1 yr Subscription 11/2/2020 to 10/31/2021,11/2/20,,,,,
University 301,11/3/20,NB101920,,$40.00 ,4700-00000,6 Mon Subscription 10/23/2020 to 4/23/2021,11/3/20,,,,$40.00 ,11/3/20
University 211,11/3/20,NB110320,,$500.00 ,4700-00000,1 yr Subscription 8/21/2020 to 8/31/2021,11/3/20,,,,,
University 125,11/3/20,NB110320A,,$200.00 ,4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,11/3/20,,,,,
University 311,11/4/20,NB110420,,"$1,700.00 ",4700-00000,1 yr Subscription 10/19/2020 to 10/31/2021,11/4/20,,,,,
University 120,11/4/20,NB110420A,,"$2,250.00 ",4700-00000,1 yr Subscription 12/31/2020 to 12/31/2021,11/4/20,,,,,
University 312,11/4/20,NB110420B,,"$2,000.00 ",4700-00000,1 yr Subscription 11/3/2020 to 10/31/2021,11/4/20,,,,,
University 313,11/6/20,NB110620,,"$6,000.00 ",4700-00000,3 yr Subscription 1/1/2021 to 12/31/2023,11/6/20,,,,,
University 235,11/6/20,NB110620A,,"$1,525.00 ",4700-00000,6 Mon Subscription 2/28/2021 to 5/31/2021,11/6/20,,,,,
University 314,11/9/20,NB110920,,"$1,000.00 ",4700-00000,6 Mon Subscription 1/25/2021 to 7/25/2021,11/9/20,,,,,
University 67,,,,,,,1/0/00,,,,,
University 67,,,,,,,1/0/00,,,,,
University 67,,,,,,,1/0/00,,,,,
University 67,,,,,,,1/0/00,,,,,
University 67,,,,,,,1/0/00,,,,,
University 67,,,,,,,1/0/00,,,,,
University 67,,,,,,,,,,,,
University 67,,,,,,,,,,,,
University 67,,,,"$1,051,447.22 ",,Balance:,,,,,"$853,917.25 ",
University 67,,,,,,"$197,529.97 ",,,,,,
University 67,,,,Aug-19 to Dec-19,ATLAS,,,,,,,
